material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability
Bioplastic,238,Medium,1,0.167,1.19,7
Metal,1483,High,1,2.669,7.415,5
Ceramic,1008,Low,0,1.21,5.04,5
Metal,887,Medium,0,1.597,4.435,5
Paper,1111,High,0,1,5.555,9
Paper,1964,Medium,1,1.768,9.82,9
Metal,1243,Low,1,2.237,6.215,5
Metal,1020,Medium,1,1.836,5.1,5
Bioplastic,1066,High,1,0.746,5.33,7
Ceramic,1171,Medium,1,1.405,5.855,5
Ceramic,1815,Low,1,2.178,9.075,5
Bioplastic,1451,Low,1,1.016,7.255,7
Glass,592,Low,1,0.888,2.96,6
Paper,538,Medium,1,0.484,2.69,9
Metal,1196,Low,1,2.153,5.98,5
Paper,392,Medium,1,0.353,1.96,9
Glass,174,Low,0,0.261,0.87,6
Glass,503,Low,1,0.754,2.515,6
Paper,1789,Low,1,1.61,8.945,9
Metal,1540,Low,1,2.772,7.7,5
Paper,1050,Low,0,0.945,5.25,9
Ceramic,811,Low,1,0.973,4.055,5
Plastic,994,High,1,2.087,4.97,2
Paper,1780,Medium,1,1.602,8.9,9
Plastic,1710,Medium,1,3.591,8.55,2
Glass,1437,Medium,1,2.155,7.185,6
Paper,1018,Low,0,0.916,5.09,9
Glass,1878,Low,1,2.817,9.39,6
Metal,698,High,1,1.256,3.49,5
Bioplastic,181,Low,1,0.127,0.905,7
Plastic,298,Medium,1,0.626,1.49,2
Ceramic,1250,Low,1,1.5,6.25,5
Paper,222,Medium,1,0.2,1.11,9
Ceramic,1064,Low,1,1.277,5.32,5
Ceramic,116,Low,1,0.139,0.58,5
Plastic,916,Medium,1,1.924,4.58,2
Bioplastic,1670,Medium,1,1.169,8.35,7
Plastic,813,Low,1,1.707,4.065,2
Bioplastic,178,Medium,1,0.125,0.89,7
Glass,753,Low,1,1.129,3.765,6
Paper,1473,Medium,1,1.326,7.365,9
Plastic,1023,Low,1,2.148,5.115,2
Ceramic,1063,Low,1,1.276,5.315,5
Paper,387,High,1,0.348,1.935,9
Glass,1442,Medium,1,2.163,7.21,6
Metal,1811,Low,1,3.26,9.055,5
Glass,1458,Low,1,2.187,7.29,6
Bioplastic,1384,Low,0,0.969,6.92,7
Ceramic,1609,Medium,1,1.931,8.045,5
Bioplastic,440,Low,0,0.308,2.2,7
Ceramic,932,High,1,1.118,4.66,5
Ceramic,640,High,0,0.768,3.2,5
Paper,1668,Medium,1,1.501,8.34,9
Bioplastic,635,High,0,0.445,3.175,7
Paper,1351,Low,1,1.216,6.755,9
Bioplastic,1652,Low,0,1.156,8.26,7
Plastic,823,Medium,0,1.728,4.115,2
Plastic,877,Medium,1,1.842,4.385,2
Paper,949,Low,0,0.854,4.745,9
Glass,999,Low,1,1.498,4.995,6
Plastic,616,Low,1,1.294,3.08,2
Bioplastic,454,Medium,1,0.318,2.27,7
Bioplastic,911,High,1,0.638,4.555,7
Metal,1023,High,0,1.841,5.115,5
Metal,1112,Low,0,2.002,5.56,5
Glass,860,Low,1,1.29,4.3,6
Metal,974,Medium,1,1.753,4.87,5
Glass,1670,High,1,2.505,8.35,6
Bioplastic,1601,Low,0,1.121,8.005,7
Bioplastic,1271,Medium,1,0.89,6.355,7
Metal,1565,High,1,2.817,7.825,5
Metal,1293,Medium,1,2.327,6.465,5
Metal,1038,Low,0,1.868,5.19,5
Paper,1279,Low,1,1.151,6.395,9
Paper,1609,Medium,1,1.448,8.045,9
Glass,1932,Low,0,2.898,9.66,6
Ceramic,131,Low,1,0.157,0.655,5
Ceramic,1408,Low,1,1.69,7.04,5
Glass,769,Medium,0,1.153,3.845,6
Paper,1955,Medium,1,1.76,9.775,9
Ceramic,736,Medium,1,0.883,3.68,5
Plastic,349,Medium,1,0.733,1.745,2
Paper,1700,Low,1,1.53,8.5,9
Ceramic,1984,Medium,1,2.381,9.92,5
Plastic,539,Medium,1,1.132,2.695,2
Ceramic,404,High,1,0.485,2.02,5
Plastic,875,Low,1,1.837,4.375,2
Ceramic,1638,Medium,1,1.966,8.19,5
Glass,386,Medium,1,0.579,1.93,6
Plastic,595,High,0,1.25,2.975,2
Ceramic,931,Medium,1,1.117,4.655,5
Plastic,421,High,1,0.884,2.105,2
Plastic,1703,Medium,1,3.576,8.515,2
Plastic,406,Medium,1,0.853,2.03,2
Plastic,1103,Low,1,2.316,5.515,2
Paper,1418,High,1,1.276,7.09,9
Plastic,204,Low,1,0.428,1.02,2
Plastic,443,Medium,1,0.93,2.215,2
Metal,743,High,0,1.337,3.715,5
Bioplastic,1607,Low,1,1.125,8.035,7
Plastic,1272,Low,1,2.671,6.36,2
Ceramic,166,High,0,0.199,0.83,5
Bioplastic,615,Low,1,0.43,3.075,7
Plastic,267,Low,1,0.561,1.335,2
Glass,869,Low,0,1.304,4.345,6
Plastic,563,Medium,1,1.182,2.815,2
Metal,1281,Medium,0,2.306,6.405,5
Bioplastic,2000,Medium,1,1.4,10,7
Paper,495,Medium,0,0.446,2.475,9
Glass,893,Low,1,1.339,4.465,6
Glass,1272,Medium,1,1.908,6.36,6
Metal,343,Low,1,0.617,1.715,5
Bioplastic,957,Low,1,0.67,4.785,7
Ceramic,398,Medium,1,0.478,1.99,5
Metal,676,Medium,1,1.217,3.38,5
Ceramic,1622,Medium,1,1.946,8.11,5
Glass,1398,Low,1,2.097,6.99,6
Ceramic,1805,High,1,2.166,9.025,5
Glass,345,Low,0,0.517,1.725,6
Bioplastic,1073,Low,1,0.751,5.365,7
Plastic,564,Medium,1,1.184,2.82,2
Metal,1887,High,0,3.397,9.435,5
Ceramic,160,High,0,0.192,0.8,5
Plastic,682,Low,1,1.432,3.41,2
Ceramic,1929,High,0,2.315,9.645,5
Bioplastic,322,Low,1,0.225,1.61,7
Bioplastic,532,Medium,1,0.372,2.66,7
Ceramic,1196,Medium,0,1.435,5.98,5
Bioplastic,1975,Medium,1,1.383,9.875,7
Bioplastic,434,High,1,0.304,2.17,7
Bioplastic,1106,Low,1,0.774,5.53,7
Bioplastic,1048,Low,0,0.734,5.24,7
Paper,1694,Medium,1,1.525,8.47,9
Metal,471,High,1,0.848,2.355,5
Glass,1248,Medium,1,1.872,6.24,6
Plastic,834,Medium,1,1.751,4.17,2
Paper,338,Medium,0,0.304,1.69,9
Metal,1341,High,1,2.414,6.705,5
Glass,488,Medium,1,0.732,2.44,6
Metal,1002,High,0,1.804,5.01,5
Glass,1678,Low,0,2.517,8.39,6
Bioplastic,143,Medium,0,0.1,0.715,7
Paper,774,Low,1,0.697,3.87,9
Metal,519,Low,1,0.934,2.595,5
Bioplastic,1444,High,1,1.011,7.22,7
Bioplastic,795,Medium,1,0.556,3.975,7
Paper,135,Low,1,0.121,0.675,9
Ceramic,1557,Medium,1,1.868,7.785,5
Plastic,1984,Low,1,4.166,9.92,2
Metal,1845,Medium,1,3.321,9.225,5
Ceramic,331,Low,1,0.397,1.655,5
Metal,1101,Medium,1,1.982,5.505,5
Ceramic,808,Low,1,0.97,4.04,5
Glass,713,Medium,1,1.069,3.565,6
Ceramic,1104,Medium,0,1.325,5.52,5
Bioplastic,144,Low,1,0.101,0.72,7
Glass,1247,Medium,1,1.871,6.235,6
Paper,762,Low,1,0.686,3.81,9
Plastic,582,High,1,1.222,2.91,2
Plastic,1380,Low,1,2.898,6.9,2
Ceramic,1700,Medium,1,2.04,8.5,5
Glass,1906,Medium,0,2.859,9.53,6
Paper,1475,Low,1,1.327,7.375,9
Bioplastic,924,Low,1,0.647,4.62,7
Metal,1926,High,1,3.467,9.63,5
Metal,1820,Medium,1,3.276,9.1,5
Metal,333,High,0,0.599,1.665,5
Bioplastic,1115,Low,0,0.78,5.575,7
Ceramic,1635,Medium,0,1.962,8.175,5
Plastic,1161,Medium,1,2.438,5.805,2
Glass,666,Medium,1,0.999,3.33,6
Metal,1307,Low,1,2.353,6.535,5
Paper,584,High,1,0.526,2.92,9
Glass,455,Low,1,0.682,2.275,6
Glass,1542,Medium,1,2.313,7.71,6
Bioplastic,303,Medium,1,0.212,1.515,7
Plastic,1934,Medium,1,4.061,9.67,2
Bioplastic,636,High,1,0.445,3.18,7
Paper,574,Medium,1,0.517,2.87,9
Plastic,1156,Low,1,2.428,5.78,2
Bioplastic,1120,High,1,0.784,5.6,7
Paper,1181,Low,1,1.063,5.905,9
Paper,417,Low,1,0.375,2.085,9
Plastic,1277,Medium,1,2.682,6.385,2
Ceramic,975,Low,1,1.17,4.875,5
Paper,1842,Medium,1,1.658,9.21,9
Glass,798,Medium,0,1.197,3.99,6
Paper,1476,Medium,1,1.328,7.38,9
Bioplastic,537,High,0,0.376,2.685,7
Paper,359,Medium,1,0.323,1.795,9
Plastic,1753,Medium,1,3.681,8.765,2
Plastic,936,Low,1,1.966,4.68,2
Glass,1260,Low,1,1.89,6.3,6
Paper,1739,High,0,1.565,8.695,9
Bioplastic,1732,High,1,1.212,8.66,7
Bioplastic,265,High,1,0.185,1.325,7
Metal,1738,Medium,1,3.128,8.69,5
Paper,1716,Medium,1,1.544,8.58,9
Bioplastic,1946,Medium,1,1.362,9.73,7
Paper,1892,Medium,1,1.703,9.46,9
Paper,1410,Medium,1,1.269,7.05,9
Glass,1926,Medium,1,2.889,9.63,6
Metal,1390,Medium,1,2.502,6.95,5
Metal,1689,High,1,3.04,8.445,5
Metal,1045,High,1,1.881,5.225,5
Plastic,917,Medium,0,1.926,4.585,2
Glass,1266,Low,1,1.899,6.33,6
Metal,555,Low,0,0.999,2.775,5
Plastic,1206,Low,1,2.533,6.03,2
Plastic,987,Low,1,2.073,4.935,2
Metal,1310,Medium,1,2.358,6.55,5
Metal,1419,High,1,2.554,7.095,5
Metal,1890,High,1,3.402,9.45,5
Paper,1158,Low,1,1.042,5.79,9
Bioplastic,293,High,0,0.205,1.465,7
Ceramic,363,Low,1,0.436,1.815,5
Paper,1557,Low,1,1.401,7.785,9
Paper,1335,Low,1,1.202,6.675,9
Ceramic,1344,Low,1,1.613,6.72,5
Glass,965,High,1,1.448,4.825,6
Ceramic,1862,Medium,1,2.234,9.31,5
Metal,483,Medium,1,0.869,2.415,5
Bioplastic,1564,High,1,1.095,7.82,7
Bioplastic,1779,High,1,1.245,8.895,7
Glass,1286,Low,1,1.929,6.43,6
Paper,1228,Low,0,1.105,6.14,9
Bioplastic,453,Low,1,0.317,2.265,7
Metal,822,Low,0,1.48,4.11,5
Metal,1706,Low,1,3.071,8.53,5
Paper,1366,Low,1,1.229,6.83,9
Glass,1649,Medium,1,2.474,8.245,6
Ceramic,1597,Medium,1,1.916,7.985,5
Paper,1862,High,1,1.676,9.31,9
Paper,149,Low,1,0.134,0.745,9
Ceramic,566,Medium,1,0.679,2.83,5
Plastic,251,Medium,1,0.527,1.255,2
Paper,855,Low,1,0.769,4.275,9
Ceramic,1007,Medium,1,1.208,5.035,5
Glass,1026,Low,0,1.539,5.13,6
Metal,1993,Medium,1,3.587,9.965,5
Glass,1844,Medium,1,2.766,9.22,6
Ceramic,1496,Medium,1,1.795,7.48,5
Metal,1844,Medium,0,3.319,9.22,5
Plastic,768,Medium,1,1.613,3.84,2
Bioplastic,1901,Low,1,1.331,9.505,7
Bioplastic,1983,Medium,1,1.388,9.915,7
Glass,144,Low,0,0.216,0.72,6
Ceramic,1636,Medium,0,1.963,8.18,5
Paper,1163,Low,1,1.047,5.815,9
Ceramic,1344,Low,1,1.613,6.72,5
Ceramic,238,Low,1,0.286,1.19,5
Plastic,1547,High,1,3.249,7.735,2
Paper,384,High,1,0.346,1.92,9
Metal,868,Medium,1,1.562,4.34,5
Paper,1875,Low,1,1.688,9.375,9
Bioplastic,1869,Low,1,1.308,9.345,7
Glass,1426,Medium,0,2.139,7.13,6
Bioplastic,1418,Low,1,0.993,7.09,7
Plastic,884,Low,0,1.856,4.42,2
Paper,1944,Low,0,1.75,9.72,9
Ceramic,1280,Medium,0,1.536,6.4,5
Glass,601,Low,0,0.901,3.005,6
Glass,1237,Medium,1,1.855,6.185,6
Paper,1434,High,1,1.291,7.17,9
Bioplastic,1258,Low,1,0.881,6.29,7
Plastic,259,Low,0,0.544,1.295,2
Glass,802,High,1,1.203,4.01,6
Plastic,1885,Medium,1,3.958,9.425,2
Paper,777,Medium,1,0.699,3.885,9
Bioplastic,592,High,1,0.414,2.96,7
Ceramic,174,Low,1,0.209,0.87,5
Plastic,538,Low,1,1.13,2.69,2
Bioplastic,667,Low,1,0.467,3.335,7
Glass,612,Medium,1,0.918,3.06,6
Metal,1072,Low,1,1.93,5.36,5
Bioplastic,233,Low,0,0.163,1.165,7
Plastic,1634,Medium,1,3.431,8.17,2
Bioplastic,1982,Low,1,1.387,9.91,7
Paper,423,Low,0,0.381,2.115,9
Paper,470,Low,1,0.423,2.35,9
Metal,1936,Medium,0,3.485,9.68,5
Plastic,1640,Medium,0,3.444,8.2,2
Paper,1584,Low,1,1.426,7.92,9
Metal,742,Low,1,1.336,3.71,5
Ceramic,1992,Medium,1,2.39,9.96,5
Metal,1434,Medium,1,2.581,7.17,5
Paper,1005,Medium,1,0.904,5.025,9
Bioplastic,391,Medium,0,0.274,1.955,7
Metal,711,Low,1,1.28,3.555,5
Metal,1172,Medium,1,2.11,5.86,5
Ceramic,1295,Medium,1,1.554,6.475,5
Glass,1307,Medium,1,1.96,6.535,6
Bioplastic,508,High,1,0.356,2.54,7
Paper,788,Medium,1,0.709,3.94,9
Plastic,1603,Medium,0,3.366,8.015,2
Glass,1522,High,0,2.283,7.61,6
Plastic,1877,Medium,1,3.942,9.385,2
Plastic,1116,Low,1,2.344,5.58,2
Ceramic,1572,Low,1,1.886,7.86,5
Paper,1154,Medium,1,1.039,5.77,9
Ceramic,541,Medium,1,0.649,2.705,5
Glass,1273,Medium,1,1.909,6.365,6
Glass,450,Medium,0,0.675,2.25,6
Ceramic,465,Low,0,0.558,2.325,5
Plastic,1067,Low,1,2.241,5.335,2
Plastic,1407,Low,1,2.955,7.035,2
Ceramic,1687,Low,1,2.024,8.435,5
Glass,935,Low,0,1.403,4.675,6
Bioplastic,1277,Medium,1,0.894,6.385,7
Plastic,1388,Low,1,2.915,6.94,2
Paper,580,Medium,1,0.522,2.9,9
Bioplastic,1070,Medium,1,0.749,5.35,7
Bioplastic,598,Medium,1,0.419,2.99,7
Glass,771,Medium,1,1.157,3.855,6
Paper,1984,Low,0,1.786,9.92,9
Metal,830,Low,1,1.494,4.15,5
Glass,1100,Medium,0,1.65,5.5,6
Metal,564,High,1,1.015,2.82,5
Paper,1229,High,1,1.106,6.145,9
Ceramic,336,Low,1,0.403,1.68,5
Glass,1008,Medium,1,1.512,5.04,6
Bioplastic,1180,Medium,1,0.826,5.9,7
Metal,1900,Medium,1,3.42,9.5,5
Plastic,420,Low,1,0.882,2.1,2
Ceramic,782,High,1,0.938,3.91,5
Plastic,1677,Low,1,3.522,8.385,2
Glass,1616,Medium,1,2.424,8.08,6
Bioplastic,417,High,1,0.292,2.085,7
Bioplastic,417,Medium,1,0.292,2.085,7
Bioplastic,550,Low,1,0.385,2.75,7
Plastic,1023,Medium,0,2.148,5.115,2
Plastic,1875,Low,0,3.938,9.375,2
Bioplastic,559,Medium,1,0.391,2.795,7
Ceramic,442,Medium,1,0.53,2.21,5
Ceramic,1774,Medium,1,2.129,8.87,5
Paper,1201,High,1,1.081,6.005,9
Glass,352,Medium,1,0.528,1.76,6
Paper,127,Low,1,0.114,0.635,9
Ceramic,1595,Low,1,1.914,7.975,5
Glass,950,Medium,1,1.425,4.75,6
Plastic,1099,Low,1,2.308,5.495,2
Paper,165,Low,1,0.148,0.825,9
Ceramic,862,Low,1,1.034,4.31,5
Ceramic,1741,Medium,0,2.089,8.705,5
Ceramic,1823,Medium,1,2.188,9.115,5
Ceramic,1965,Low,1,2.358,9.825,5
Paper,434,High,1,0.391,2.17,9
Bioplastic,792,Low,1,0.554,3.96,7
Plastic,1468,High,1,3.083,7.34,2
Ceramic,148,Medium,1,0.178,0.74,5
Metal,605,Medium,0,1.089,3.025,5
Glass,253,Low,1,0.38,1.265,6
Bioplastic,412,Low,0,0.288,2.06,7
Paper,1153,Medium,1,1.038,5.765,9
Paper,129,Medium,1,0.116,0.645,9
Bioplastic,888,Low,1,0.622,4.44,7
Paper,1673,Low,1,1.506,8.365,9
Glass,444,Medium,1,0.666,2.22,6
Paper,1559,Low,1,1.403,7.795,9
Glass,816,Low,0,1.224,4.08,6
Ceramic,265,Medium,1,0.318,1.325,5
Paper,903,High,1,0.813,4.515,9
Plastic,1914,High,0,4.019,9.57,2
Ceramic,1115,Medium,1,1.338,5.575,5
Ceramic,787,High,1,0.944,3.935,5
Paper,1724,High,0,1.552,8.62,9
Ceramic,747,Low,0,0.896,3.735,5
Paper,969,Medium,1,0.872,4.845,9
Glass,929,Low,0,1.393,4.645,6
Bioplastic,846,High,1,0.592,4.23,7
Ceramic,1358,High,0,1.63,6.79,5
Metal,440,Medium,1,0.792,2.2,5
Ceramic,1818,Medium,0,2.182,9.09,5
Metal,531,High,1,0.956,2.655,5
Paper,988,Medium,1,0.889,4.94,9
Ceramic,109,Low,1,0.131,0.545,5
Bioplastic,1369,Medium,0,0.958,6.845,7
Plastic,664,Medium,1,1.394,3.32,2
Bioplastic,1996,Medium,1,1.397,9.98,7
Paper,1232,Low,1,1.109,6.16,9
Paper,736,High,1,0.662,3.68,9
Ceramic,464,Low,1,0.557,2.32,5
Ceramic,407,Low,1,0.488,2.035,5
Glass,320,Low,1,0.48,1.6,6
Glass,1379,Medium,1,2.068,6.895,6
Metal,413,Medium,1,0.743,2.065,5
Plastic,1929,Low,1,4.051,9.645,2
Glass,577,Medium,0,0.866,2.885,6
Ceramic,191,Medium,1,0.229,0.955,5
Bioplastic,189,Low,0,0.132,0.945,7
Ceramic,1513,Medium,1,1.816,7.565,5
Ceramic,682,Low,0,0.818,3.41,5
Glass,186,Medium,1,0.279,0.93,6
Glass,1639,Medium,1,2.458,8.195,6
Glass,1109,Medium,1,1.663,5.545,6
Metal,967,Low,1,1.741,4.835,5
Metal,1967,Low,1,3.541,9.835,5
Glass,913,Medium,1,1.369,4.565,6
Paper,918,Low,1,0.826,4.59,9
Bioplastic,1600,Low,1,1.12,8,7
Ceramic,1209,Medium,0,1.451,6.045,5
Plastic,1698,Low,1,3.566,8.49,2
Metal,1841,Low,1,3.314,9.205,5
Plastic,399,Low,0,0.838,1.995,2
Paper,1297,Low,1,1.167,6.485,9
Plastic,1410,Low,1,2.961,7.05,2
Metal,1369,Medium,1,2.464,6.845,5
Plastic,863,Low,1,1.812,4.315,2
Bioplastic,205,Medium,0,0.143,1.025,7
Glass,342,High,1,0.513,1.71,6
Paper,1764,Medium,1,1.588,8.82,9
Paper,1487,Medium,1,1.338,7.435,9
Paper,966,Medium,0,0.869,4.83,9
Ceramic,1567,Low,1,1.88,7.835,5
Paper,1868,Low,1,1.681,9.34,9
Plastic,822,Medium,0,1.726,4.11,2
Paper,1969,Medium,0,1.772,9.845,9
Metal,1329,High,1,2.392,6.645,5
Bioplastic,165,High,1,0.115,0.825,7
Glass,1227,Low,0,1.841,6.135,6
Paper,661,Medium,1,0.595,3.305,9
Metal,234,Medium,1,0.421,1.17,5
Paper,589,Medium,1,0.53,2.945,9
Ceramic,1572,Low,1,1.886,7.86,5
Plastic,1503,Medium,1,3.156,7.515,2
Paper,330,Low,1,0.297,1.65,9
Metal,422,Low,1,0.76,2.11,5
Glass,437,Medium,1,0.655,2.185,6
Paper,698,Low,1,0.628,3.49,9
Bioplastic,447,Low,0,0.313,2.235,7
Glass,269,Medium,1,0.404,1.345,6
Plastic,434,Low,1,0.911,2.17,2
Plastic,1871,High,1,3.929,9.355,2
Paper,1020,Low,1,0.918,5.1,9
Metal,1823,Medium,1,3.281,9.115,5
Plastic,1790,High,0,3.759,8.95,2
Metal,835,Medium,1,1.503,4.175,5
Ceramic,1632,Low,1,1.958,8.16,5
Glass,1245,Medium,0,1.867,6.225,6
Paper,1789,High,1,1.61,8.945,9
Paper,423,Medium,0,0.381,2.115,9
Paper,1003,Medium,1,0.903,5.015,9
Plastic,1755,Low,1,3.686,8.775,2
Glass,1071,Low,0,1.607,5.355,6
Bioplastic,1138,Medium,1,0.797,5.69,7
Glass,1770,Low,0,2.655,8.85,6
Glass,993,High,1,1.49,4.965,6
Bioplastic,1943,Low,1,1.36,9.715,7
Glass,1726,Low,0,2.589,8.63,6
Paper,528,Low,1,0.475,2.64,9
Glass,661,Low,1,0.992,3.305,6
Ceramic,821,Low,1,0.985,4.105,5
Plastic,1474,Low,1,3.095,7.37,2
Ceramic,487,High,0,0.584,2.435,5
Plastic,463,Medium,0,0.972,2.315,2
Ceramic,605,High,1,0.726,3.025,5
Metal,1684,Medium,1,3.031,8.42,5
Plastic,866,Low,0,1.819,4.33,2
Plastic,1734,Medium,1,3.641,8.67,2
Glass,569,Low,1,0.854,2.845,6
Ceramic,1545,Medium,0,1.854,7.725,5
Bioplastic,1786,Low,1,1.25,8.93,7
Plastic,1513,High,1,3.177,7.565,2
Ceramic,498,Medium,1,0.598,2.49,5
Bioplastic,1431,Medium,1,1.002,7.155,7
Paper,170,Medium,1,0.153,0.85,9
Paper,477,High,1,0.429,2.385,9
Metal,545,Low,0,0.981,2.725,5
Paper,463,High,1,0.417,2.315,9
Ceramic,1818,Medium,1,2.182,9.09,5
Paper,1304,High,1,1.174,6.52,9
Paper,1835,Low,1,1.651,9.175,9
Plastic,743,Medium,0,1.56,3.715,2
Paper,164,Low,0,0.148,0.82,9
Glass,1008,High,1,1.512,5.04,6
Metal,178,Low,1,0.32,0.89,5
Bioplastic,505,High,1,0.353,2.525,7
Plastic,983,Medium,1,2.064,4.915,2
Glass,1383,Low,1,2.075,6.915,6
Paper,811,Low,1,0.73,4.055,9
Paper,1348,Low,1,1.213,6.74,9
Ceramic,1883,Low,1,2.26,9.415,5
Paper,1281,Low,0,1.153,6.405,9
Paper,1523,Low,1,1.371,7.615,9
Metal,1294,Low,1,2.329,6.47,5
Glass,1253,Low,1,1.879,6.265,6
Paper,927,Medium,1,0.834,4.635,9
Ceramic,1580,High,1,1.896,7.9,5
Glass,1463,Medium,1,2.195,7.315,6
Plastic,1781,High,1,3.74,8.905,2
Plastic,1092,Low,1,2.293,5.46,2
Bioplastic,607,Low,1,0.425,3.035,7
Metal,585,Medium,1,1.053,2.925,5
Plastic,907,Low,0,1.905,4.535,2
Paper,276,Medium,1,0.248,1.38,9
Plastic,1799,Low,1,3.778,8.995,2
Glass,865,Medium,1,1.298,4.325,6
Plastic,645,Low,1,1.355,3.225,2
Plastic,1409,Medium,1,2.959,7.045,2
Glass,1026,Medium,0,1.539,5.13,6
Plastic,117,Medium,1,0.246,0.585,2
Bioplastic,559,Low,1,0.391,2.795,7
Plastic,665,Medium,0,1.397,3.325,2
Glass,248,Medium,1,0.372,1.24,6
Glass,1725,Low,1,2.587,8.625,6
Paper,1953,Medium,1,1.758,9.765,9
Paper,1677,Medium,1,1.509,8.385,9
Plastic,1621,Medium,1,3.404,8.105,2
Glass,1635,Medium,1,2.453,8.175,6
Paper,1254,Medium,1,1.129,6.27,9
Glass,676,Low,1,1.014,3.38,6
Glass,812,Medium,1,1.218,4.06,6
Bioplastic,1989,Low,1,1.392,9.945,7
Paper,1325,Medium,1,1.192,6.625,9
Plastic,750,Medium,0,1.575,3.75,2
Ceramic,1102,High,1,1.322,5.51,5
Ceramic,283,Low,0,0.34,1.415,5
Ceramic,1828,Medium,1,2.194,9.14,5
Glass,1131,Low,1,1.696,5.655,6
Glass,1925,Medium,1,2.888,9.625,6
Glass,1319,Low,1,1.978,6.595,6
Bioplastic,1146,Medium,1,0.802,5.73,7
Paper,1939,Low,1,1.745,9.695,9
Metal,596,High,1,1.073,2.98,5
Ceramic,639,Medium,0,0.767,3.195,5
Ceramic,914,Medium,0,1.097,4.57,5
Paper,1011,Medium,1,0.91,5.055,9
Metal,1382,Medium,1,2.488,6.91,5
Metal,250,Low,1,0.45,1.25,5
Plastic,1995,Medium,1,4.189,9.975,2
Plastic,1365,Medium,1,2.866,6.825,2
Paper,1196,High,1,1.076,5.98,9
Plastic,205,High,1,0.43,1.025,2
Metal,1866,Low,1,3.359,9.33,5
Bioplastic,1520,Medium,0,1.064,7.6,7
Paper,240,Low,1,0.216,1.2,9
Bioplastic,444,Medium,1,0.311,2.22,7
Glass,646,High,1,0.969,3.23,6
Plastic,1623,Low,1,3.408,8.115,2
Paper,1840,High,0,1.656,9.2,9
Metal,549,Low,0,0.988,2.745,5
Ceramic,1998,High,1,2.398,9.99,5
Plastic,566,Low,0,1.189,2.83,2
Ceramic,1172,High,1,1.406,5.86,5
Metal,410,Medium,1,0.738,2.05,5
Plastic,791,Medium,1,1.661,3.955,2
Glass,725,Low,0,1.087,3.625,6
Metal,284,Low,1,0.511,1.42,5
Metal,1492,Low,0,2.686,7.46,5
Plastic,1922,High,1,4.036,9.61,2
Ceramic,1728,Low,1,2.074,8.64,5
Plastic,1775,Medium,1,3.728,8.875,2
Ceramic,742,Medium,1,0.89,3.71,5
Plastic,465,High,1,0.977,2.325,2
Glass,1668,Low,1,2.502,8.34,6
Metal,875,Low,0,1.575,4.375,5
Glass,633,High,1,0.95,3.165,6
Paper,532,Medium,0,0.479,2.66,9
Bioplastic,1826,High,1,1.278,9.13,7
Metal,1621,Low,0,2.918,8.105,5
Plastic,1858,Medium,1,3.902,9.29,2
Ceramic,1841,High,1,2.209,9.205,5
Ceramic,211,High,0,0.253,1.055,5
Paper,1221,Medium,1,1.099,6.105,9
Bioplastic,1264,High,0,0.885,6.32,7
Paper,1405,Low,1,1.264,7.025,9
Ceramic,548,High,1,0.658,2.74,5
Glass,1401,Low,0,2.102,7.005,6
Plastic,251,Medium,1,0.527,1.255,2
Glass,426,Medium,1,0.639,2.13,6
Plastic,1840,Medium,1,3.864,9.2,2
Bioplastic,1596,Medium,1,1.117,7.98,7
Paper,1675,Low,1,1.508,8.375,9
Plastic,1948,Low,1,4.091,9.74,2
Bioplastic,1917,Low,0,1.342,9.585,7
Bioplastic,878,Low,0,0.615,4.39,7
Metal,803,High,1,1.445,4.015,5
Plastic,351,High,0,0.737,1.755,2
Ceramic,893,Low,1,1.072,4.465,5
Ceramic,513,High,1,0.616,2.565,5
Ceramic,1904,Medium,0,2.285,9.52,5
Plastic,490,Medium,0,1.029,2.45,2
Paper,1594,Medium,1,1.435,7.97,9
Bioplastic,350,Low,1,0.245,1.75,7
Ceramic,1017,Low,1,1.22,5.085,5
Ceramic,327,Low,1,0.392,1.635,5
Glass,566,Medium,0,0.849,2.83,6
Paper,444,Medium,1,0.4,2.22,9
Ceramic,1744,Medium,1,2.093,8.72,5
Metal,448,Low,0,0.806,2.24,5
Metal,1273,Medium,1,2.291,6.365,5
Metal,1417,Low,0,2.551,7.085,5
Paper,1372,Medium,1,1.235,6.86,9
Paper,1708,High,1,1.537,8.54,9
Bioplastic,1970,Low,1,1.379,9.85,7
Glass,1945,Medium,1,2.917,9.725,6
Ceramic,1264,Medium,1,1.517,6.32,5
Plastic,431,Medium,1,0.905,2.155,2
Plastic,1090,Medium,1,2.289,5.45,2
Bioplastic,382,Medium,1,0.267,1.91,7
Bioplastic,287,Medium,1,0.201,1.435,7
Paper,1387,High,1,1.248,6.935,9
Glass,396,Medium,0,0.594,1.98,6
Paper,856,High,1,0.77,4.28,9
Glass,657,High,0,0.986,3.285,6
Paper,1724,Medium,0,1.552,8.62,9
Metal,1470,High,1,2.646,7.35,5
Paper,1185,Low,1,1.067,5.925,9
Bioplastic,757,Low,1,0.53,3.785,7
Ceramic,837,Medium,1,1.004,4.185,5
Metal,1046,Medium,1,1.883,5.23,5
Metal,263,High,0,0.473,1.315,5
Plastic,167,Low,1,0.351,0.835,2
Paper,1065,Medium,1,0.959,5.325,9
