material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability,co2_impact_index,eco_score
Glass,1616,Medium,1,2.424,8.08,6,0.0015,4.5760000000000005
Bioplastic,417,High,1,0.292,2.085,7,0.0007002398081534772,7.708
Bioplastic,417,Medium,1,0.292,2.085,7,0.0007002398081534772,7.708
Bioplastic,550,Low,1,0.385,2.75,7,0.0007,7.615
Plastic,1023,Medium,0,2.148,5.115,2,0.0020997067448680355,-0.14800000000000013
Plastic,1875,Low,0,3.938,9.375,2,0.0021002666666666667,-1.9380000000000002
Bioplastic,559,Medium,1,0.391,2.795,7,0.0006994633273703041,7.609
Ceramic,442,Medium,1,0.53,2.21,5,0.0011990950226244345,5.47
Ceramic,1774,Medium,1,2.129,8.87,5,0.0012001127395715897,3.871
Paper,1201,High,1,1.081,6.005,9,0.000900083263946711,8.919
Glass,352,Medium,1,0.528,1.76,6,0.0015,6.4719999999999995
Paper,127,Low,1,0.114,0.635,9,0.0008976377952755906,9.886
Ceramic,1595,Low,1,1.914,7.975,5,0.0012,4.086
Glass,950,Medium,1,1.425,4.75,6,0.0015,5.575
Plastic,1099,Low,1,2.308,5.495,2,0.002100090991810737,0.6920000000000002
Paper,165,Low,1,0.148,0.825,9,0.000896969696969697,9.852
Ceramic,862,Low,1,1.034,4.31,5,0.0011995359628770301,4.966
Ceramic,1741,Medium,0,2.089,8.705,5,0.0011998851234922459,2.911
Ceramic,1823,Medium,1,2.188,9.115,5,0.0012002194185408669,3.812
Ceramic,1965,Low,1,2.358,9.825,5,0.0012000000000000001,3.642
Paper,434,High,1,0.391,2.17,9,0.0009009216589861751,9.609
Bioplastic,792,Low,1,0.554,3.96,7,0.0006994949494949495,7.446
Plastic,1468,High,1,3.083,7.34,2,0.0021001362397820166,-0.08300000000000018
Ceramic,148,Medium,1,0.178,0.74,5,0.0012027027027027026,5.822
Metal,605,Medium,0,1.089,3.025,5,0.0018,3.911
Glass,253,Low,1,0.38,1.265,6,0.0015019762845849803,6.62
Bioplastic,412,Low,0,0.288,2.06,7,0.0006990291262135922,6.712
Paper,1153,Medium,1,1.038,5.765,9,0.0009002601908065915,8.962
Paper,129,Medium,1,0.116,0.645,9,0.0008992248062015504,9.884
Bioplastic,888,Low,1,0.622,4.44,7,0.0007004504504504504,7.378
Paper,1673,Low,1,1.506,8.365,9,0.0009001793185893604,8.494
Glass,444,Medium,1,0.666,2.22,6,0.0015,6.334
Paper,1559,Low,1,1.403,7.795,9,0.0008999358563181527,8.597
Glass,816,Low,0,1.224,4.08,6,0.0015,4.776
Ceramic,265,Medium,1,0.318,1.325,5,0.0012000000000000001,5.682
Paper,903,High,1,0.813,4.515,9,0.0009003322259136213,9.187
Plastic,1914,High,0,4.019,9.57,2,0.002099791013584117,-2.019
Ceramic,1115,Medium,1,1.338,5.575,5,0.0012000000000000001,4.662
Ceramic,787,High,1,0.944,3.935,5,0.0011994917407878018,5.056
Paper,1724,High,0,1.552,8.62,9,0.000900232018561485,7.448
Ceramic,747,Low,0,0.896,3.735,5,0.0011994645247657297,4.104
Paper,969,Medium,1,0.872,4.845,9,0.0008998968008255934,9.128
Glass,929,Low,0,1.393,4.645,6,0.0014994617868675996,4.607
Bioplastic,846,High,1,0.592,4.23,7,0.0006997635933806147,7.408
Ceramic,1358,High,0,1.63,6.79,5,0.0012002945508100148,3.37
Metal,440,Medium,1,0.792,2.2,5,0.0018000000000000002,5.208
Ceramic,1818,Medium,0,2.182,9.09,5,0.0012002200220022,2.818
Metal,531,High,1,0.956,2.655,5,0.001800376647834275,5.0440000000000005
Paper,988,Medium,1,0.889,4.94,9,0.0008997975708502024,9.111
Ceramic,109,Low,1,0.131,0.545,5,0.001201834862385321,5.869
Bioplastic,1369,Medium,0,0.958,6.845,7,0.0006997808619430241,6.042
Plastic,664,Medium,1,1.394,3.32,2,0.0020993975903614457,1.606
Bioplastic,1996,Medium,1,1.397,9.98,7,0.0006998997995991984,6.603
Paper,1232,Low,1,1.109,6.16,9,0.0009001623376623377,8.891
Paper,736,High,1,0.662,3.68,9,0.0008994565217391305,9.338
Ceramic,464,Low,1,0.557,2.32,5,0.0012004310344827587,5.443
Ceramic,407,Low,1,0.488,2.035,5,0.001199017199017199,5.5120000000000005
Glass,320,Low,1,0.48,1.6,6,0.0015,6.52
Glass,1379,Medium,1,2.068,6.895,6,0.0014996374184191444,4.932
Metal,413,Medium,1,0.743,2.065,5,0.0017990314769975786,5.257
Plastic,1929,Low,1,4.051,9.645,2,0.002100051840331778,-1.0510000000000002
Glass,577,Medium,0,0.866,2.885,6,0.0015008665511265164,5.134
Ceramic,191,Medium,1,0.229,0.955,5,0.001198952879581152,5.771
Bioplastic,189,Low,0,0.132,0.945,7,0.0006984126984126985,6.868
Ceramic,1513,Medium,1,1.816,7.565,5,0.0012002643754130866,4.184
Ceramic,682,Low,0,0.818,3.41,5,0.0011994134897360704,4.182
Glass,186,Medium,1,0.279,0.93,6,0.0015,6.721
Glass,1639,Medium,1,2.458,8.195,6,0.0014996949359365468,4.542
Glass,1109,Medium,1,1.663,5.545,6,0.0014995491433724077,5.337
Metal,967,Low,1,1.741,4.835,5,0.001800413650465357,4.259
Metal,1967,Low,1,3.541,9.835,5,0.0018002033553634977,2.459
Glass,913,Medium,1,1.369,4.565,6,0.0014994523548740417,5.631
Paper,918,Low,1,0.826,4.59,9,0.0008997821350762527,9.174
Bioplastic,1600,Low,1,1.12,8.0,7,0.0007000000000000001,6.88
Ceramic,1209,Medium,0,1.451,6.045,5,0.0012001654259718776,3.549
Plastic,1698,Low,1,3.566,8.49,2,0.002100117785630153,-0.5659999999999998
Metal,1841,Low,1,3.314,9.205,5,0.0018001086366105379,2.686
Plastic,399,Low,0,0.838,1.995,2,0.002100250626566416,1.162
Paper,1297,Low,1,1.167,6.485,9,0.0008997686969930609,8.833
Plastic,1410,Low,1,2.961,7.05,2,0.0021,0.039000000000000146
Metal,1369,Medium,1,2.464,6.845,5,0.001799853907962016,3.536
Plastic,863,Low,1,1.812,4.315,2,0.0020996523754345307,1.188
Bioplastic,205,Medium,0,0.143,1.025,7,0.000697560975609756,6.857
Glass,342,High,1,0.513,1.71,6,0.0015,6.487
Paper,1764,Medium,1,1.588,8.82,9,0.0009002267573696146,8.411999999999999
Paper,1487,Medium,1,1.338,7.435,9,0.0008997982515131137,8.661999999999999
Paper,966,Medium,0,0.869,4.83,9,0.0008995859213250518,8.131
Ceramic,1567,Low,1,1.88,7.835,5,0.0011997447351627312,4.12
Paper,1868,Low,1,1.681,9.34,9,0.0008998929336188437,8.318999999999999
Plastic,822,Medium,0,1.726,4.11,2,0.002099756690997567,0.274
Paper,1969,Medium,0,1.772,9.845,9,0.0008999492127983748,7.228
Metal,1329,High,1,2.392,6.645,5,0.001799849510910459,3.608
Bioplastic,165,High,1,0.115,0.825,7,0.000696969696969697,7.885
Glass,1227,Low,0,1.841,6.135,6,0.0015004074979625102,4.159
Paper,661,Medium,1,0.595,3.305,9,0.0009001512859304084,9.405
Metal,234,Medium,1,0.421,1.17,5,0.001799145299145299,5.579
Paper,589,Medium,1,0.53,2.945,9,0.000899830220713073,9.47
Ceramic,1572,Low,1,1.886,7.86,5,0.0011997455470737913,4.114
Plastic,1503,Medium,1,3.156,7.515,2,0.002099800399201597,-0.15600000000000014
Paper,330,Low,1,0.297,1.65,9,0.0009,9.703
Metal,422,Low,1,0.76,2.11,5,0.0018009478672985782,5.24
Glass,437,Medium,1,0.655,2.185,6,0.0014988558352402746,6.345
Paper,698,Low,1,0.628,3.49,9,0.0008997134670487106,9.372
Bioplastic,447,Low,0,0.313,2.235,7,0.0007002237136465324,6.687
Glass,269,Medium,1,0.404,1.345,6,0.0015018587360594797,6.596
Plastic,434,Low,1,0.911,2.17,2,0.002099078341013825,2.089
Plastic,1871,High,1,3.929,9.355,2,0.0020999465526456438,-0.9289999999999998
Paper,1020,Low,1,0.918,5.1,9,0.0009000000000000001,9.082
Metal,1823,Medium,1,3.281,9.115,5,0.0017997805814591334,2.719
Plastic,1790,High,0,3.759,8.95,2,0.0021,-1.759
Metal,835,Medium,1,1.503,4.175,5,0.0018,4.497
Ceramic,1632,Low,1,1.958,8.16,5,0.0011997549019607842,4.042
Glass,1245,Medium,0,1.867,6.225,6,0.0014995983935742973,4.133
Paper,1789,High,1,1.61,8.945,9,0.0008999441028507547,8.39
Paper,423,Medium,0,0.381,2.115,9,0.0009007092198581561,8.619
Paper,1003,Medium,1,0.903,5.015,9,0.0009002991026919242,9.097
Plastic,1755,Low,1,3.686,8.775,2,0.0021002849002849005,-0.6859999999999999
Glass,1071,Low,0,1.607,5.355,6,0.0015004668534080298,4.393
Bioplastic,1138,Medium,1,0.797,5.69,7,0.0007003514938488576,7.203
Glass,1770,Low,0,2.655,8.85,6,0.0014999999999999998,3.345
Glass,993,High,1,1.49,4.965,6,0.001500503524672709,5.51
Bioplastic,1943,Low,1,1.36,9.715,7,0.0006999485331960886,6.64
Glass,1726,Low,0,2.589,8.63,6,0.0015,3.411
Paper,528,Low,1,0.475,2.64,9,0.0008996212121212121,9.525
Glass,661,Low,1,0.992,3.305,6,0.0015007564296520423,6.008
Ceramic,821,Low,1,0.985,4.105,5,0.001199756394640682,5.015
Plastic,1474,Low,1,3.095,7.37,2,0.002099728629579376,-0.0950000000000002
Ceramic,487,High,0,0.584,2.435,5,0.0011991786447638603,4.416
Plastic,463,Medium,0,0.972,2.315,2,0.002099352051835853,1.028
Ceramic,605,High,1,0.726,3.025,5,0.0012,5.274
Metal,1684,Medium,1,3.031,8.42,5,0.0017998812351543944,2.969
Plastic,866,Low,0,1.819,4.33,2,0.002100461893764434,0.18100000000000005
Plastic,1734,Medium,1,3.641,8.67,2,0.002099769319492503,-0.641
Glass,569,Low,1,0.854,2.845,6,0.0015008787346221441,6.146
Ceramic,1545,Medium,0,1.854,7.725,5,0.0012000000000000001,3.146
Bioplastic,1786,Low,1,1.25,8.93,7,0.0006998880179171332,6.75
Plastic,1513,High,1,3.177,7.565,2,0.002099801718440185,-0.17700000000000005
Ceramic,498,Medium,1,0.598,2.49,5,0.0012008032128514056,5.402
Bioplastic,1431,Medium,1,1.002,7.155,7,0.00070020964360587,6.998
Paper,170,Medium,1,0.153,0.85,9,0.0009,9.847
Paper,477,High,1,0.429,2.385,9,0.0008993710691823899,9.571
Metal,545,Low,0,0.981,2.725,5,0.0018,4.019
Paper,463,High,1,0.417,2.315,9,0.0009006479481641468,9.583
Ceramic,1818,Medium,1,2.182,9.09,5,0.0012002200220022,3.818
Paper,1304,High,1,1.174,6.52,9,0.0009003067484662576,8.826
Paper,1835,Low,1,1.651,9.175,9,0.0008997275204359673,8.349
Plastic,743,Medium,0,1.56,3.715,2,0.0020995962314939434,0.43999999999999995
Paper,164,Low,0,0.148,0.82,9,0.0009024390243902438,8.852
Glass,1008,High,1,1.512,5.04,6,0.0015,5.4879999999999995
Metal,178,Low,1,0.32,0.89,5,0.0017977528089887641,5.68
Bioplastic,505,High,1,0.353,2.525,7,0.0006990099009900989,7.647
Plastic,983,Medium,1,2.064,4.915,2,0.0020996948118006103,0.9359999999999999
Glass,1383,Low,1,2.075,6.915,6,0.001500361532899494,4.925
Paper,811,Low,1,0.73,4.055,9,0.0009001233045622688,9.27
Paper,1348,Low,1,1.213,6.74,9,0.0008998516320474778,8.786999999999999
Ceramic,1883,Low,1,2.26,9.415,5,0.0012002124269782262,3.74
Paper,1281,Low,0,1.153,6.405,9,0.0009000780640124903,7.8469999999999995
Paper,1523,Low,1,1.371,7.615,9,0.0009001969796454366,8.629
Metal,1294,Low,1,2.329,6.47,5,0.0017998454404945905,3.671
Glass,1253,Low,1,1.879,6.265,6,0.0014996009577015164,5.121
Paper,927,Medium,1,0.834,4.635,9,0.0008996763754045307,9.166
Ceramic,1580,High,1,1.896,7.9,5,0.0012,4.104
Glass,1463,Medium,1,2.195,7.315,6,0.0015003417634996581,4.805
Plastic,1781,High,1,3.74,8.905,2,0.0020999438517686694,-0.7400000000000002
Plastic,1092,Low,1,2.293,5.46,2,0.00209981684981685,0.7069999999999999
Bioplastic,607,Low,1,0.425,3.035,7,0.000700164744645799,7.575
Metal,585,Medium,1,1.053,2.925,5,0.0018,4.947
Plastic,907,Low,0,1.905,4.535,2,0.0021003307607497246,0.09499999999999997
Paper,276,Medium,1,0.248,1.38,9,0.0008985507246376812,9.752
Plastic,1799,Low,1,3.778,8.995,2,0.0021000555864369094,-0.778
Glass,865,Medium,1,1.298,4.325,6,0.001500578034682081,5.702
Plastic,645,Low,1,1.355,3.225,2,0.0021007751937984495,1.645
Plastic,1409,Medium,1,2.959,7.045,2,0.002100070972320795,0.040999999999999925
Glass,1026,Medium,0,1.539,5.13,6,0.0015,4.461
Plastic,117,Medium,1,0.246,0.585,2,0.0021025641025641025,2.754
Bioplastic,559,Low,1,0.391,2.795,7,0.0006994633273703041,7.609
Plastic,665,Medium,0,1.397,3.325,2,0.002100751879699248,0.603
Glass,248,Medium,1,0.372,1.24,6,0.0015,6.628
Glass,1725,Low,1,2.587,8.625,6,0.0014997101449275364,4.413
Paper,1953,Medium,1,1.758,9.765,9,0.0009001536098310292,8.242
Paper,1677,Medium,1,1.509,8.385,9,0.0008998211091234347,8.491
Plastic,1621,Medium,1,3.404,8.105,2,0.0020999383096853793,-0.4039999999999999
Glass,1635,Medium,1,2.453,8.175,6,0.0015003058103975535,4.547000000000001
Paper,1254,Medium,1,1.129,6.27,9,0.0009003189792663477,8.871
Glass,676,Low,1,1.014,3.38,6,0.0015,5.986
Glass,812,Medium,1,1.218,4.06,6,0.0015,5.782
Bioplastic,1989,Low,1,1.392,9.945,7,0.0006998491704374057,6.6080000000000005
Paper,1325,Medium,1,1.192,6.625,9,0.0008996226415094339,8.808
Plastic,750,Medium,0,1.575,3.75,2,0.0021,0.42500000000000004
Ceramic,1102,High,1,1.322,5.51,5,0.0011996370235934665,4.678
Ceramic,283,Low,0,0.34,1.415,5,0.0012014134275618376,4.66
Ceramic,1828,Medium,1,2.194,9.14,5,0.0012002188183807439,3.806
Glass,1131,Low,1,1.696,5.655,6,0.0014995579133510167,5.304
Glass,1925,Medium,1,2.888,9.625,6,0.00150025974025974,4.112
Glass,1319,Low,1,1.978,6.595,6,0.0014996209249431387,5.022
Bioplastic,1146,Medium,1,0.802,5.73,7,0.000699825479930192,7.198
Paper,1939,Low,1,1.745,9.695,9,0.0008999484270242393,8.254999999999999
Metal,596,High,1,1.073,2.98,5,0.0018003355704697985,4.927
Ceramic,639,Medium,0,0.767,3.195,5,0.0012003129890453834,4.233
Ceramic,914,Medium,0,1.097,4.57,5,0.0012002188183807439,3.903
Paper,1011,Medium,1,0.91,5.055,9,0.0009000989119683482,9.09
Metal,1382,Medium,1,2.488,6.91,5,0.0018002894356005789,3.512
Metal,250,Low,1,0.45,1.25,5,0.0018,5.55
Plastic,1995,Medium,1,4.189,9.975,2,0.002099749373433584,-1.189
Plastic,1365,Medium,1,2.866,6.825,2,0.0020996336996336996,0.1339999999999999
Paper,1196,High,1,1.076,5.98,9,0.000899665551839465,8.924
Plastic,205,High,1,0.43,1.025,2,0.0020975609756097562,2.57
Metal,1866,Low,1,3.359,9.33,5,0.00180010718113612,2.641
Bioplastic,1520,Medium,0,1.064,7.6,7,0.0007,5.936
Paper,240,Low,1,0.216,1.2,9,0.0009,9.784
Bioplastic,444,Medium,1,0.311,2.22,7,0.0007004504504504504,7.689
Glass,646,High,1,0.969,3.23,6,0.0015,6.031
Plastic,1623,Low,1,3.408,8.115,2,0.002099815157116451,-0.4079999999999999
Paper,1840,High,0,1.656,9.2,9,0.0009,7.344
Metal,549,Low,0,0.988,2.745,5,0.0017996357012750456,4.0120000000000005
Ceramic,1998,High,1,2.398,9.99,5,0.0012002002002002002,3.602
Plastic,566,Low,0,1.189,2.83,2,0.002100706713780919,0.8109999999999999
Ceramic,1172,High,1,1.406,5.86,5,0.0011996587030716722,4.594
Metal,410,Medium,1,0.738,2.05,5,0.0018,5.2620000000000005
Plastic,791,Medium,1,1.661,3.955,2,0.002099873577749684,1.339
Glass,725,Low,0,1.087,3.625,6,0.0014993103448275862,4.913
Metal,284,Low,1,0.511,1.42,5,0.0017992957746478873,5.489
Metal,1492,Low,0,2.686,7.46,5,0.0018002680965147452,2.314
Plastic,1922,High,1,4.036,9.61,2,0.002099895941727367,-1.0359999999999996
Ceramic,1728,Low,1,2.074,8.64,5,0.0012002314814814814,3.926
Plastic,1775,Medium,1,3.728,8.875,2,0.0021002816901408454,-0.7280000000000002
Ceramic,742,Medium,1,0.89,3.71,5,0.0011994609164420486,5.11
Plastic,465,High,1,0.977,2.325,2,0.002101075268817204,2.023
Glass,1668,Low,1,2.502,8.34,6,0.0014999999999999998,4.498
Metal,875,Low,0,1.575,4.375,5,0.0018,3.425
Glass,633,High,1,0.95,3.165,6,0.0015007898894154818,6.05
Paper,532,Medium,0,0.479,2.66,9,0.000900375939849624,8.521
Bioplastic,1826,High,1,1.278,9.13,7,0.0006998904709748083,6.7219999999999995
Metal,1621,Low,0,2.918,8.105,5,0.0018001233806292413,2.082
Plastic,1858,Medium,1,3.902,9.29,2,0.00210010764262648,-0.9020000000000001
Ceramic,1841,High,1,2.209,9.205,5,0.0011998913633894622,3.791
Ceramic,211,High,0,0.253,1.055,5,0.0011990521327014218,4.747
Paper,1221,Medium,1,1.099,6.105,9,0.0009000819000819,8.901
Bioplastic,1264,High,0,0.885,6.32,7,0.0007001582278481013,6.115
Paper,1405,Low,1,1.264,7.025,9,0.000899644128113879,8.736
Ceramic,548,High,1,0.658,2.74,5,0.0012007299270072993,5.342
Glass,1401,Low,0,2.102,7.005,6,0.0015003568879371875,3.898
Plastic,251,Medium,1,0.527,1.255,2,0.002099601593625498,2.473
Glass,426,Medium,1,0.639,2.13,6,0.0015,6.361
Plastic,1840,Medium,1,3.864,9.2,2,0.0021,-0.8639999999999999
Bioplastic,1596,Medium,1,1.117,7.98,7,0.000699874686716792,6.883
Paper,1675,Low,1,1.508,8.375,9,0.0009002985074626866,8.492
Plastic,1948,Low,1,4.091,9.74,2,0.0021001026694045175,-1.0910000000000002
Bioplastic,1917,Low,0,1.342,9.585,7,0.0007000521648408973,5.6579999999999995
Bioplastic,878,Low,0,0.615,4.39,7,0.0007004555808656037,6.385
Metal,803,High,1,1.445,4.015,5,0.0017995018679950188,4.555
Plastic,351,High,0,0.737,1.755,2,0.0020997150997150997,1.263
Ceramic,893,Low,1,1.072,4.465,5,0.0012004479283314671,4.928
Ceramic,513,High,1,0.616,2.565,5,0.0012007797270955165,5.384
Ceramic,1904,Medium,0,2.285,9.52,5,0.0012001050420168068,2.715
Plastic,490,Medium,0,1.029,2.45,2,0.0021,0.9710000000000001
Paper,1594,Medium,1,1.435,7.97,9,0.0009002509410288583,8.565
Bioplastic,350,Low,1,0.245,1.75,7,0.0007,7.755
Ceramic,1017,Low,1,1.22,5.085,5,0.00119960668633235,4.78
Ceramic,327,Low,1,0.392,1.635,5,0.001198776758409786,5.608
Glass,566,Medium,0,0.849,2.83,6,0.0015,5.151
Paper,444,Medium,1,0.4,2.22,9,0.0009009009009009009,9.6
Ceramic,1744,Medium,1,2.093,8.72,5,0.0012001146788990825,3.907
Metal,448,Low,0,0.806,2.24,5,0.0017991071428571429,4.194
Metal,1273,Medium,1,2.291,6.365,5,0.0017996857816182247,3.709
Metal,1417,Low,0,2.551,7.085,5,0.0018002822865208188,2.449
Paper,1372,Medium,1,1.235,6.86,9,0.0009001457725947523,8.765
Paper,1708,High,1,1.537,8.54,9,0.0008998829039812646,8.463000000000001
Bioplastic,1970,Low,1,1.379,9.85,7,0.0007,6.621
Glass,1945,Medium,1,2.917,9.725,6,0.0014997429305912595,4.083
Ceramic,1264,Medium,1,1.517,6.32,5,0.0012001582278481013,4.4830000000000005
Plastic,431,Medium,1,0.905,2.155,2,0.0020997679814385153,2.0949999999999998
Plastic,1090,Medium,1,2.289,5.45,2,0.0021000000000000003,0.7109999999999999
Bioplastic,382,Medium,1,0.267,1.91,7,0.0006989528795811519,7.733
Bioplastic,287,Medium,1,0.201,1.435,7,0.0007003484320557492,7.799
Paper,1387,High,1,1.248,6.935,9,0.0008997837058399423,8.752
Glass,396,Medium,0,0.594,1.98,6,0.0015,5.406
Paper,856,High,1,0.77,4.28,9,0.0008995327102803739,9.23
Glass,657,High,0,0.986,3.285,6,0.0015007610350076103,5.014
Paper,1724,Medium,0,1.552,8.62,9,0.000900232018561485,7.448
Metal,1470,High,1,2.646,7.35,5,0.0018,3.354
Paper,1185,Low,1,1.067,5.925,9,0.00090042194092827,8.933
Bioplastic,757,Low,1,0.53,3.785,7,0.0007001321003963012,7.47
Ceramic,837,Medium,1,1.004,4.185,5,0.001199522102747909,4.996
Metal,1046,Medium,1,1.883,5.23,5,0.00180019120458891,4.117
Metal,263,High,0,0.473,1.315,5,0.0017984790874524714,4.527
Plastic,167,Low,1,0.351,0.835,2,0.0021017964071856285,2.649
Paper,1065,Medium,1,0.959,5.325,9,0.0009004694835680751,9.041
Paper,199,Low,1,0.179,0.995,9,0.0008994974874371859,9.821
Metal,1696,Medium,1,3.053,8.48,5,0.001800117924528302,2.947
Plastic,1308,Medium,1,2.747,6.54,2,0.0021001529051987767,0.2530000000000001
Plastic,452,Medium,1,0.949,2.26,2,0.0020995575221238938,2.051
Bioplastic,1104,Medium,1,0.773,5.52,7,0.0007001811594202899,7.227
Glass,294,Medium,0,0.441,1.47,6,0.0015,5.559
Paper,653,High,1,0.588,3.265,9,0.0009004594180704441,9.412
Metal,834,Low,1,1.501,4.17,5,0.0017997601918465227,4.4990000000000006
Plastic,1425,High,1,2.993,7.125,2,0.0021003508771929823,0.007000000000000117
Plastic,629,Low,0,1.321,3.145,2,0.002100158982511924,0.679
Ceramic,685,Medium,0,0.822,3.425,5,0.0012,4.178
Ceramic,1553,High,1,1.864,7.765,5,0.0012002575660012879,4.136
Plastic,988,Low,1,2.075,4.94,2,0.002100202429149798,0.9249999999999998
Plastic,562,Low,0,1.18,2.81,2,0.002099644128113879,0.8200000000000001
Plastic,633,Low,1,1.329,3.165,2,0.002099526066350711,1.671
Metal,1120,Medium,1,2.016,5.6,5,0.0018,3.984
Metal,820,High,1,1.476,4.1,5,0.0018,4.524
Metal,1817,Low,1,3.271,9.085,5,0.0018002201430930105,2.729
Ceramic,602,Low,1,0.722,3.01,5,0.0011993355481727573,5.2780000000000005
Metal,1770,Low,1,3.186,8.85,5,0.0018,2.814
Plastic,1065,Low,1,2.236,5.325,2,0.002099530516431925,0.7639999999999998
Glass,1124,Low,1,1.686,5.62,6,0.0015,5.314
Bioplastic,1906,Low,1,1.334,9.53,7,0.0006998950682056663,6.666
Metal,1251,Medium,0,2.252,6.255,5,0.001800159872102318,2.748
Paper,1995,Medium,1,1.796,9.975,9,0.0009002506265664161,8.204
Glass,1293,Medium,1,1.94,6.465,6,0.0015003866976024747,5.0600000000000005
Paper,625,Medium,1,0.562,3.125,9,0.0008992000000000001,9.438
Glass,518,Low,1,0.777,2.59,6,0.0015,6.223
Paper,702,Low,1,0.632,3.51,9,0.0009002849002849003,9.368
Ceramic,279,Low,0,0.335,1.395,5,0.0012007168458781363,4.665
Glass,1091,Low,1,1.637,5.455,6,0.0015004582951420715,5.3629999999999995
Paper,1628,Low,1,1.465,8.14,9,0.00089987714987715,8.535
Bioplastic,1883,Low,0,1.318,9.415,7,0.0006999468932554435,5.682
Paper,657,Medium,0,0.591,3.285,9,0.0008995433789954337,8.409
Paper,951,Low,1,0.856,4.755,9,0.0009001051524710831,9.144
Glass,1857,Low,0,2.785,9.285,6,0.001499730748519117,3.215
Glass,338,Medium,1,0.507,1.69,6,0.0015,6.493
Paper,1308,Low,1,1.177,6.54,9,0.0008998470948012232,8.823
Metal,1979,High,1,3.562,9.895,5,0.001799898938858009,2.438
Paper,314,Low,1,0.283,1.57,9,0.0009012738853503184,9.717
Metal,1161,Medium,1,2.09,5.805,5,0.0018001722652885442,3.91
Paper,1181,Low,1,1.063,5.905,9,0.0009000846740050804,8.937
Glass,1106,High,1,1.659,5.53,6,0.0015,5.341
Plastic,807,Low,1,1.695,4.035,2,0.002100371747211896,1.305
Metal,599,Medium,1,1.078,2.995,5,0.0017996661101836395,4.922
Ceramic,670,High,1,0.804,3.35,5,0.0012000000000000001,5.196
Glass,1634,Low,1,2.451,8.17,6,0.0015,4.5489999999999995
Ceramic,1776,Low,1,2.131,8.88,5,0.0011998873873873873,3.869
Ceramic,1586,Low,1,1.903,7.93,5,0.0011998738965952082,4.0969999999999995
Plastic,362,High,1,0.76,1.81,2,0.0020994475138121547,2.24
Plastic,226,Low,0,0.475,1.13,2,0.0021017699115044247,1.525
Glass,618,Medium,1,0.927,3.09,6,0.0015,6.073
Plastic,1017,Low,0,2.136,5.085,2,0.0021002949852507377,-0.13600000000000012
Glass,297,Medium,0,0.446,1.485,6,0.0015016835016835018,5.554
Plastic,1629,Low,1,3.421,8.145,2,0.002100061387354205,-0.4209999999999998
Paper,375,Medium,1,0.338,1.875,9,0.0009013333333333334,9.662
Bioplastic,1440,High,0,1.008,7.2,7,0.0007,5.992
Metal,341,High,1,0.614,1.705,5,0.0018005865102639295,5.386
Paper,771,High,1,0.694,3.855,9,0.0009001297016861218,9.306000000000001
Glass,607,Low,1,0.91,3.035,6,0.001499176276771005,6.09
Glass,850,Medium,1,1.275,4.25,6,0.0014999999999999998,5.725
Ceramic,991,Low,0,1.189,4.955,5,0.0011997981836528759,3.811
Glass,1318,Low,1,1.977,6.59,6,0.0015,5.023
Glass,212,Medium,0,0.318,1.06,6,0.0015,5.682
Metal,130,Medium,1,0.234,0.65,5,0.0018000000000000002,5.766
Metal,1944,Low,1,3.499,9.72,5,0.001799897119341564,2.501
Ceramic,1647,Low,1,1.976,8.235,5,0.0011997571341833637,4.024
Paper,711,High,1,0.64,3.555,9,0.00090014064697609,9.36
Ceramic,724,Low,1,0.869,3.62,5,0.0012002762430939227,5.131
Bioplastic,1413,High,1,0.989,7.065,7,0.0006999292285916489,7.011
Ceramic,1053,Medium,1,1.264,5.265,5,0.0012003798670465336,4.736
Glass,1474,Low,0,2.211,7.37,6,0.0014999999999999998,3.789
Glass,1536,High,0,2.304,7.68,6,0.0014999999999999998,3.696
Ceramic,1088,Low,1,1.306,5.44,5,0.0012003676470588235,4.694
Bioplastic,996,Low,1,0.697,4.98,7,0.0006997991967871485,7.303
Paper,1775,Medium,1,1.597,8.875,9,0.0008997183098591549,8.403
Ceramic,1862,Medium,1,2.234,9.31,5,0.0011997851772287862,3.766
Paper,752,High,1,0.677,3.76,9,0.0009002659574468086,9.323
Ceramic,726,Medium,1,0.871,3.63,5,0.001199724517906336,5.129
Paper,1791,Low,1,1.612,8.955,9,0.0009000558347292016,8.388
Glass,145,Medium,1,0.217,0.725,6,0.001496551724137931,6.783
Glass,1881,Medium,1,2.821,9.405,6,0.0014997341839447103,4.179
Bioplastic,1665,Medium,1,1.165,8.325,7,0.0006996996996996997,6.835
Metal,152,High,1,0.274,0.76,5,0.0018026315789473686,5.726
Glass,1677,Low,0,2.515,8.385,6,0.001499701848539058,3.485
Glass,769,High,1,1.153,3.845,6,0.0014993498049414825,5.8469999999999995
Paper,1579,Low,1,1.421,7.895,9,0.0008999366687777074,8.579
Paper,1894,Medium,1,1.705,9.47,9,0.0009002111932418163,8.295
Metal,939,Low,1,1.69,4.695,5,0.001799787007454739,4.3100000000000005
Ceramic,1888,Medium,1,2.266,9.44,5,0.0012002118644067797,3.734
Metal,1271,Medium,1,2.288,6.355,5,0.0018001573564122738,3.712
Bioplastic,393,Low,1,0.275,1.965,7,0.0006997455470737914,7.725
Paper,1752,Low,1,1.577,8.76,9,0.0009001141552511415,8.423
